language,id,text,file,node,lineNumber,lock,comment
en,line:065c147,Genny: They’re truly the most influential underground band here.,Assets/YarnFile/00/00_01/00_01.yarn,Start,30,562ea400,
en,line:0a292ab,"Genny: Even though I'm not a fan of them, I still respect them a lot.",Assets/YarnFile/00/00_01/00_01.yarn,Start,31,07b67e7c,
en,line:07f71f7,Genny: How long have you listened to their music? Five… six years?,Assets/YarnFile/00/00_01/00_01.yarn,Start,33,43ddc31d,
en,line:049c43e,"Genny: Of course, I remember that; they are the reason you wanted to come to this city, right?",Assets/YarnFile/00/00_01/00_01.yarn,Start,34,669e6ffc,
en,line:0c2ec92,Genny: I'm so happy that we came to the city together four years ago.,Assets/YarnFile/00/00_01/00_01.yarn,Start,36,5e48fc79,
en,line:0a9a688,Genny: Sorry I got carried away...,Assets/YarnFile/00/00_01/00_01.yarn,Start,37,74550928,
en,line:0aab4cb,"Genny: I have two papers due at midnight, but I will try to finish them before you get back.",Assets/YarnFile/00/00_01/00_01.yarn,Start,38,72846b4c,
en,line:080dfe3,Genny: So we can watch a movie together!,Assets/YarnFile/00/00_01/00_01.yarn,Start,39,c2271d91,
en,line:0074746,Genny: Remember I said that I tried to hack into that website with restricted movies?,Assets/YarnFile/00/00_01/00_01.yarn,Start,40,ab17f94e,
en,line:0159aa2,Genny: I did it last night! So we can eat cup ramen and watch movies when you're back.,Assets/YarnFile/00/00_01/00_01.yarn,Start,41,f469f75e,
en,line:05798cc,Genny: I think you just got your first order tonight.,Assets/YarnFile/00/00_01/00_01.yarn,Guide,50,ba8fb567,
en,line:0643d1f,*Phone Buzz*,Assets/YarnFile/00/00_01/00_01.yarn,Guide,52,d18afdda,
en,line:046b5b7,Genny: Check where it is going to be.,Assets/YarnFile/00/00_01/00_01.yarn,Guide,53,b8a8d10b,
en,line:078035b,Brette can check his order on the city map on his phone whenever he wants.,Assets/YarnFile/00/00_01/00_01.yarn,Guide,57,1ccfd634,
en,line:002badc,(Press “triangle” or “Y” on your controller to open your phone),Assets/YarnFile/00/00_01/00_01.yarn,Guide,58,c7eefc20,
en,line:0b01d0b,(Press the same key again to close it),Assets/YarnFile/00/00_01/00_01.yarn,Guide,59,f3a20a87,
en,line:0730825,Genny: Please be careful with the monitor; you don't want to expose yourself in front of them.,Assets/YarnFile/00/00_01/00_01.yarn,Guide,60,bd8a2386,
en,line:0bd4ab8,(Press “option” on your controller to open the instruction menu),Assets/YarnFile/00/00_01/00_01.yarn,Guide,62,9db3b015,
en,line:0bd4ab,"Genny: If you forget anything and I'm not there to help you, you can always check this instruction menu.",Assets/YarnFile/00/00_01/00_01.yarn,Guide,63,756015f5,
en,line:01c8588,Genny: Be careful and stay safe!,Assets/YarnFile/00/00_01/00_01.yarn,Guide,66,d283f2ec,
en,line:035da95,Brette: Okay then…,Assets/YarnFile/00/00_01/00_01.yarn,Meta,74,b4ae1f5b,
en,line:040801a,Brette takes a look at his face in the mirror and takes a look at you -- His Prosthetic Eye,Assets/YarnFile/00/00_01/00_01.yarn,Meta,75,ced328ad,
en,line:04ea19e,"Brette: So Ginny didn't know you existed, right? {0}.",Assets/YarnFile/00/00_01/00_01.yarn,Meta,76,4b504448,
en,line:0b80aec,"Brette: To be honest, I thought you were some kind of AI she made at first.",Assets/YarnFile/00/00_01/00_01.yarn,Meta,77,0f81df3b,
en,line:0eaaec9,"Brette: But then, with the super powers come with you, I don't know…",Assets/YarnFile/00/00_01/00_01.yarn,Meta,78,3675ba52,
en,line:04b8f56,Brette: She is the smartest person I ever knew,Assets/YarnFile/00/00_01/00_01.yarn,Meta,79,9b02ad07,
en,line:055fbe2,"Brette: But like, creating superpowers against nature…",Assets/YarnFile/00/00_01/00_01.yarn,Meta,80,3c7aec52,
en,line:0aeadbd,Brette: I don't think she could do that.,Assets/YarnFile/00/00_01/00_01.yarn,Meta,81,f1b61f4d,
en,line:05016f8,Brette: I'm not gonna complain about it.,Assets/YarnFile/00/00_01/00_01.yarn,Meta,82,adcb09e5,
en,line:0bf91fa,Brette: The teleportation and x-Ray ability makes doing devliery job much easier for me.,Assets/YarnFile/00/00_01/00_01.yarn,Meta,83,b4b307d0,
en,line:06c1be4,Brette:I don't like the feeling of possessing others....but it's also useful sometimes...,Assets/YarnFile/00/00_01/00_01.yarn,Meta,84,cf712ddb,
en,line:01d9698,(Use R1 or Left Button on your mouse to do teleportation),Assets/YarnFile/00/00_01/00_01.yarn,Meta,85,a7e06800,
en,line:0b85f1c,(Use R2 or Right Button on your mouse to enter X-Ray mode when looking at a building),Assets/YarnFile/00/00_01/00_01.yarn,Meta,86,f296dd0c,
en,line:06daf95,(Teleport you self onto NPC will enter possessed mode),Assets/YarnFile/00/00_01/00_01.yarn,Meta,87,4689cd56,
en,line:0347013,"Brette: Let go, {0}.",Assets/YarnFile/00/00_01/00_01.yarn,Meta,88,10a356fc,
