language,id,text,file,node,lineNumber,lock,comment
en,line:077d787,?? : And there's no one better than UnRead to put on that show.,Assets/YarnFile/00/00_03/00_03.yarn,Start,53,238f2dd3,
en,line:0b9a92e,"Brette, who was about to leave, stops. the name UnRead numbing his body like an electric shock. He couldn't help but look back at the glowing doorway.",Assets/YarnFile/00/00_03/00_03.yarn,Start,55,3bc83336,
en,line:04279ae,?? : The newspaper was ready?,Assets/YarnFile/00/00_03/00_03.yarn,Start,57,2fa91f14,
en,line:0ec6884,"?? : Yes. With so many eyes on the stage, even if the people on the top wants to suppress it, I'm sure it won't be able to be hidden.",Assets/YarnFile/00/00_03/00_03.yarn,Start,59,6febb8ad,
en,line:05f9a1b,"?? : That's right, since we've decided, we'll make a big fuss.",Assets/YarnFile/00/00_03/00_03.yarn,Start,61,c7cbc085,
en,line:0661604,?? : I can just imagine the headlines in the newspapers. "Shock! The lead singer of a famous underground band is assassinated during his first festival performance!",Assets/YarnFile/00/00_03/00_03.yarn,Start,63,16c60e96,
en,line:0366db8,Brette's whole body trembled.,Assets/YarnFile/00/00_03/00_03.yarn,Start,67,03bc20a0,
en,line:0bf9e2a,"??: Only three months after the fall of the government, the spiritual leader of the liberal movement was assassinated in front of a large audience. What better way to set the city on fire?",Assets/YarnFile/00/00_03/00_03.yarn,Start,69,fe1265c7,
en,line:0ac0ee7,??? : Hahahahahaha simply the perfect plan.,Assets/YarnFile/00/00_03/00_03.yarn,Start,71,44a7d609,
en,line:05cad1f,"? : Yes, the perfect plan.",Assets/YarnFile/00/00_03/00_03.yarn,Start,73,f196a6d5,
en,line:0151203,"Brette's upper body was pressed against the cold metal wall, otherwise his shaking legs could no longer support his sweat-soaked body.",Assets/YarnFile/00/00_03/00_03.yarn,Start,75,e0686e66,
en,line:05b994a,"The conversation in the room continued, but Brette could no longer hear it, the great shock creating a ringing in his head that cut his mind off from the outside world as a whole.",Assets/YarnFile/00/00_03/00_03.yarn,Start,77,2ae8ee98,
en,line:0e620ba,??? : Hey! Who are you! What are you doing there!,Assets/YarnFile/00/00_03/00_03.yarn,Start,81,d4f495df,
en,line:0ce5849,"A sudden shout from the other side of the hallway brought Brette's mind back to reality, and the conversation between the two men in the room came to a screeching halt with this question.",Assets/YarnFile/00/00_03/00_03.yarn,Start,83,da7046d2,
en,line:0178169,The source of the voice was walking quickly toward Brette.,Assets/YarnFile/00/00_03/00_03.yarn,Start,85,cb94d646,
en,line:061ec4a,"??? : I'm asking you, who are you? What are you doing here?",Assets/YarnFile/00/00_03/00_03.yarn,Start,87,03c95621,
en,line:0fdf3d2,Brette: I ....,Assets/YarnFile/00/00_03/00_03.yarn,Start,89,ad1222ca,
en,line:087b19e,Brette finally realized that she was in as much danger as if she were hanging 22 stories above the ground.,Assets/YarnFile/00/00_03/00_03.yarn,Start,91,19bdaeee,
en,line:0e3fcf9,Brette : I'm... I'm here to make a delivery,Assets/YarnFile/00/00_03/00_03.yarn,Start,92,ba1e2d05,
en,line:09a330c,"Brette raises the delivery bag in her hand, although her hand is shaking",Assets/YarnFile/00/00_03/00_03.yarn,Start,94,eee1d268,
en,line:0150a8f,"Brette: This way... I knocked on the door for a long time and no one answered, so I saw a side door and came in.",Assets/YarnFile/00/00_03/00_03.yarn,Start,96,fc68be67,
en,line:0baa7bf,"Brette handed over the bag, holding out her hand in fear.",Assets/YarnFile/00/00_03/00_03.yarn,Start,98,9b101515,
en,line:0b2bfcb,??? : .... Bai! Did you order food?,Assets/YarnFile/00/00_03/00_03.yarn,Start,100,cc5e4c5f,
en,line:00b735f,"The man in the room who had just been chatting, known as ""Old Bai"", shouted in response",Assets/YarnFile/00/00_03/00_03.yarn,Start,102,c164da08,
en,line:0d28e93,Bai : Oh! I ordered it! Hahahaha I forgot about it.,Assets/YarnFile/00/00_03/00_03.yarn,Start,106,7028c3d3,
en,line:0e6c3ca,??? :hmm....,Assets/YarnFile/00/00_03/00_03.yarn,Start,110,3aca587d,
en,line:027de5f,"The other man looks Brette up and down, and then looks in the direction of the room, as if to determine if Brette can hear the people in the room at this distance",Assets/YarnFile/00/00_03/00_03.yarn,Start,112,928c64af,
en,line:0f2c1ec,"Brette doesn't know how long the other man had noticed him before questioning him, but he decided to take a chance",Assets/YarnFile/00/00_03/00_03.yarn,Start,114,75e5825e,
en,line:0c351b1,"Brette: I'm glad I ran into you! if you hadn't stopped me, I would have given up this order and gone home.",Assets/YarnFile/00/00_03/00_03.yarn,Start,116,4bc7afef,
en,line:0a6803e,"After hearing this, his expression did not change, and then thought for a while and said",Assets/YarnFile/00/00_03/00_03.yarn,Start,118,aeaf2cde,
en,line:0d9141e,??: Who told you to enter this building? You shouldn't...,Assets/YarnFile/00/00_03/00_03.yarn,Start,120,db22c00f,
en,line:0c2a4e5,The man in the room called Bai speaks again,Assets/YarnFile/00/00_03/00_03.yarn,Start,122,b53cdc93,
en,line:08915c1,"Bai: Okay, okay, Sam, it's okay, it's not easy for kids like him to do this job. don't make it difficult for them.",Assets/YarnFile/00/00_03/00_03.yarn,Start,126,26ede2b8,
en,line:020abde,Brette: Sorry...,Assets/YarnFile/00/00_03/00_03.yarn,Start,130,cf5631c6,
en,line:0f92403,"Sam : .... Okay, your delivery has been delivered, go home!",Assets/YarnFile/00/00_03/00_03.yarn,Start,132,4b396175,
en,line:0ea8710,Brette: Ah... Okay!,Assets/YarnFile/00/00_03/00_03.yarn,Start,134,6e1fcac8,
en,line:0e5c9e5,Brette turns around and tries to run away.,Assets/YarnFile/00/00_03/00_03.yarn,Start,136,d87ffcdd,
en,line:08f8378,Sam: Wait!,Assets/YarnFile/00/00_03/00_03.yarn,Start,138,70c3abce,
en,line:02037e7,"Sam : Don't go through the back door, I'll take you out the front door so you don't get lost again",Assets/YarnFile/00/00_03/00_03.yarn,Start,140,50e52d7b,
en,line:0624e14,Brette: ... Okay.,Assets/YarnFile/00/00_03/00_03.yarn,Start,142,46bde891,
,line:0fae0af,"When we came out of the front door, it started raining heavily, and the iron gate slammed shut behind us.",Assets/YarnFile/00/00_03/00_03.yarn,Start,146,13e0940d,
